"시도별","사육규모별","년도","분기","항목","데이터"
"전국","합계",2017,1,"농장수",6387
"전국","합계",2017,1,"마리수",11004533
"전국","합계",2017,2,"농장수",6357
"전국","합계",2017,2,"마리수",11186783
"전국","합계",2017,3,"농장수",6347
"전국","합계",2017,3,"마리수",11493282
"전국","합계",2017,4,"농장수",6313
"전국","합계",2017,4,"마리수",11272978
"전국","합계",2018,1,"농장수",6275
"전국","합계",2018,1,"마리수",11156224
"전국","합계",2018,2,"농장수",6195
"전국","합계",2018,2,"마리수",11303750
"전국","합계",2018,3,"농장수",6196
"전국","합계",2018,3,"마리수",11640677
"전국","합계",2018,4,"농장수",6188
"전국","합계",2018,4,"마리수",11332812
"전국","합계",2019,1,"농장수",6176
"전국","합계",2019,1,"마리수",11199715
"전국","합계",2019,2,"농장수",6160
"전국","합계",2019,2,"마리수",11316546
"전국","합계",2019,3,"농장수",6137
"전국","합계",2019,3,"마리수",11712607
"전국","합계",2019,4,"농장수",6133
"전국","합계",2019,4,"마리수",11279894
"전국","합계",2020,1,"농장수",6192
"전국","합계",2020,1,"마리수",11208400
"전국","합계",2020,2,"농장수",6189
"전국","합계",2020,2,"마리수",11088495
"전국","합계",2020,3,"농장수",6180
"전국","합계",2020,3,"마리수",11364564
"전국","합계",2020,4,"농장수",6078
"전국","합계",2020,4,"마리수",11078032
"전국","합계",2021,1,"농장수",6179
"전국","합계",2021,1,"마리수",11146824
"전국","합계",2021,2,"농장수",6133
"전국","합계",2021,2,"마리수",11150373
"전국","합계",2021,3,"농장수",6084
"전국","합계",2021,3,"마리수",11464603
"전국","1,000 미만",2017,1,"농장수",3035
"전국","1,000 미만",2017,1,"마리수",1137276
"전국","1,000 미만",2017,2,"농장수",2984
"전국","1,000 미만",2017,2,"마리수",1152320
"전국","1,000 미만",2017,3,"농장수",2954
"전국","1,000 미만",2017,3,"마리수",1158976
"전국","1,000 미만",2017,4,"농장수",2955
"전국","1,000 미만",2017,4,"마리수",1161089
"전국","1,000 미만",2018,1,"농장수",2928
"전국","1,000 미만",2018,1,"마리수",1136116
"전국","1,000 미만",2018,2,"농장수",2828
"전국","1,000 미만",2018,2,"마리수",1139119
"전국","1,000 미만",2018,3,"농장수",2693
"전국","1,000 미만",2018,3,"마리수",1081888
"전국","1,000 미만",2018,4,"농장수",2783
"전국","1,000 미만",2018,4,"마리수",1076232
"전국","1,000 미만",2019,1,"농장수",2797
"전국","1,000 미만",2019,1,"마리수",1036330
"전국","1,000 미만",2019,2,"농장수",2732
"전국","1,000 미만",2019,2,"마리수",1035171
"전국","1,000 미만",2019,3,"농장수",2646
"전국","1,000 미만",2019,3,"마리수",1018313
"전국","1,000 미만",2019,4,"농장수",2776
"전국","1,000 미만",2019,4,"마리수",940981
"전국","1,000 미만",2020,1,"농장수",2798
"전국","1,000 미만",2020,1,"마리수",987851
"전국","1,000 미만",2020,2,"농장수",2841
"전국","1,000 미만",2020,2,"마리수",998577
"전국","1,000 미만",2020,3,"농장수",2743
"전국","1,000 미만",2020,3,"마리수",963585
"전국","1,000 미만",2020,4,"농장수",2741
"전국","1,000 미만",2020,4,"마리수",925738
